Time,Class,Object ID
2025-01-10 12:27:21,Pelanggan,12
2025-01-10 12:27:21,Pelanggan,9
2025-01-10 12:27:21,Pelanggan,8
2025-01-10 12:27:21,Pelanggan,3
2025-01-10 12:27:21,Pelanggan,31
2025-01-10 12:27:26,Pelanggan,39
2025-01-10 12:27:31,Pelanggan,1
2025-01-10 12:28:25,Pelanggan,34
2025-01-10 12:28:31,Pelanggan,77
2025-01-10 12:28:37,Pelanggan,98
2025-01-10 12:28:50,Pelanggan,64
2025-01-10 12:28:50,Pelanggan,122
2025-01-10 12:28:54,Pelanggan,129
2025-01-10 12:29:00,Pelanggan,133
2025-01-10 12:29:12,Pelanggan,157
2025-01-10 12:29:33,Pelanggan,139
2025-01-10 12:30:21,Pelanggan,267
2025-01-10 12:31:26,Pelanggan,368
2025-01-10 12:31:31,Pelanggan,282
